Date,Trip,Exp,Site,Type,Block,Trt,Sample_no.,Nitrite,Nitrate,mean_N,sd_N,se_N,pH,KH
11/11/22,2,Sargasso Manipulation,Forest,control,5,Seaweed,na,0,0,na,na,na,8,360
11/11/22,2,Sargasso Manipulation,Beach,sargasso,1,Sediment,na,0,10,na,na,na,8,240
11/11/22,2,Sargasso Manipulation,Beach,sargasso,1,Seaweed,na,0,0,na,na,na,8.4,240
11/11/22,2,Sargasso Manipulation,Beach,control,1,Sediment,na,0,0,na,na,na,8.4,240
11/11/22,2,Sargasso Manipulation,Beach,sargasso,2,Seaweed,na,0,0,na,na,na,8,360
11/11/22,2,Sargasso Manipulation,Beach,sargasso,2,Sediment,na,0,17.5,na,na,na,8.4,240
11/11/22,2,Sargasso Manipulation,Beach,control,2,Sediment,na,0,0,na,na,na,8,240
11/11/22,2,Sargasso Manipulation,Beach,sargasso,3,Seaweed,na,0,75,na,na,na,8,240
11/11/22,2,Sargasso Manipulation,Beach,sargasso,3,Sediment,na,0,37.5,na,na,na,8,240
11/11/22,2,Sargasso Manipulation,Beach,control,3,Sediment,na,0,0,na,na,na,8,240
11/11/22,2,Sargasso Manipulation,Beach,control,4,Sediment,na,0,0,na,na,na,8,240
11/11/22,2,Sargasso Manipulation,Beach,sargasso,4,Sediment,na,0,17.5,na,na,na,8,240
11/11/22,2,Sargasso Manipulation,Beach,sargasso,4,Seaweed,na,0,75,na,na,na,8,240
11/11/22,2,Sargasso Manipulation,Beach,sargasso,5,Sediment,na,0,10,na,na,na,8,240
11/11/22,2,Sargasso Manipulation,Beach,control,5,Sediment,na,0,0,na,na,na,8,240
11/11/22,2,Sargasso Manipulation,Beach,sargasso,5,Seaweed,na,0,75,na,na,na,8,240
3/18/23,3,Sargasso Manipulation,Beach,sargasso,1,Seaweed,na,0,17.5,na,na,na,6.4,na
3/18/23,3,Sargasso Manipulation,Beach,sargasso,1,Sediment,na,0,10,na,na,na,6.6,na
3/18/23,3,Sargasso Manipulation,Beach,control,1,Sediment,na,0,0,na,na,na,8.4,na
3/18/23,3,Sargasso Manipulation,Beach,control,2,Sediment,na,0,0,na,na,na,7.6,na
3/18/23,3,Sargasso Manipulation,Beach,sargasso,2,Seaweed,na,0,17.5,na,na,na,6.8,na
3/18/23,3,Sargasso Manipulation,Beach,sargasso,2,Sediment,na,0,75,na,na,na,6.4,na
3/18/23,3,Sargasso Manipulation,Beach,control,3,Sediment,na,0,0,na,na,na,8,na
3/18/23,3,Sargasso Manipulation,Beach,sargasso,3,Seaweed,na,0,5,na,na,na,7.2,na
3/18/23,3,Sargasso Manipulation,Beach,sargasso,3,Sediment,na,0,25,na,na,na,6.4,na
3/18/23,3,Sargasso Manipulation,Beach,sargasso,4,Sediment,na,0,250,na,na,na,6.4,na
3/18/23,3,Sargasso Manipulation,Beach,sargasso,4,Seaweed,na,0,17.5,na,na,na,6.8,na
3/18/23,3,Sargasso Manipulation,Beach,control,4,Sediment,na,0,0,na,na,na,7.55,na
3/18/23,3,Sargasso Manipulation,Beach,sargasso,5,Seaweed,na,0,5,na,na,na,7.2,na
3/18/23,3,Sargasso Manipulation,Beach,sargasso,5,Sediment,na,0,37.5,na,na,na,6.8,na
3/18/23,3,Sargasso Manipulation,Beach,control,5,Sediment,na,0,0,na,na,na,8,na
3/18/23,3,Sargasso Manipulation,Forest,sargasso,1,Sediment,na,0,17.5,na,na,na,6.8,na
3/18/23,3,Sargasso Manipulation,Forest,sargasso,1,Seaweed,na,0,17.5,na,na,na,6.4,na
3/18/23,3,Sargasso Manipulation,Forest,control,1,Sediment,na,0,0,na,na,na,6.8,na
3/18/23,3,Sargasso Manipulation,Forest,control,2,Sediment,na,0,0,na,na,na,6.8,na
3/18/23,3,Sargasso Manipulation,Forest,sargasso,2,Sediment,na,0,10,na,na,na,6.8,na
3/18/23,3,Sargasso Manipulation,Forest,sargasso,2,Seaweed,na,0,17.5,na,na,na,6.4,na
3/18/23,3,Sargasso Manipulation,Forest,control,3,Sediment,na,0,0,na,na,na,7.2,na
3/18/23,3,Sargasso Manipulation,Forest,sargasso,3,Seaweed,na,0,10,na,na,na,6.4,na
3/18/23,3,Sargasso Manipulation,Forest,sargasso,3,Sediment,na,0,10,na,na,na,7.2,na
3/18/23,3,Sargasso Manipulation,Forest,sargasso,4,Sediment,na,0,37.5,na,na,na,6.8,na
3/18/23,3,Sargasso Manipulation,Forest,control,4,Sediment,na,0,0,na,na,na,6.4,na
3/18/23,3,Sargasso Manipulation,Forest,sargasso,4,Seaweed,na,0,75,na,na,na,6.4,na
3/18/23,3,Sargasso Manipulation,Forest,sargasso,5,Seaweed,na,0,10,na,na,na,7.2,na
3/18/23,3,Sargasso Manipulation,Forest,control,5,Sediment,na,0,0,na,na,na,6.4,na
3/18/23,3,Sargasso Manipulation,Forest,sargasso,5,Sediment,na,0,25,na,na,na,7.2,na
8/3.223,4,Sargasso Manipulation,Forest,control,1,Sediment,na,0,0,na,na,na,6.4,40
8/3.223,4,Sargasso Manipulation,Forest,sargasso,1,Sediment,na,0,10,na,na,na,6.4,40
8/3.223,4,Sargasso Manipulation,Forest,sargasso,2,Sediment,na,0,10,na,na,na,6.8,80
8/3.223,4,Sargasso Manipulation,Forest,control,2,Sediment,na,0,0,na,na,na,6.4,40
8/3.223,4,Sargasso Manipulation,Forest,sargasso,3,Sediment,na,0,10,na,na,na,6.4,40
8/3.223,4,Sargasso Manipulation,Forest,control,3,Sediment,na,1,0,na,na,na,6.4,40
8/3.223,4,Sargasso Manipulation,Forest,control,4,Sediment,na,0,0,na,na,na,6.4,80
8/3.223,4,Sargasso Manipulation,Forest,sargasso,4,Sediment,na,0,10,na,na,na,6.4,40
8/3.223,4,Sargasso Manipulation,Forest,sargasso,5,Sediment,na,0,10,na,na,na,6.4,0
8/3.223,4,Sargasso Manipulation,Forest,control,5,Sediment,na,0,0,na,na,na,6.4,40
8/3.223,4,Sargasso Manipulation,Beach,control,3,Sediment,na,0,0,na,na,na,6.8,80
8/3.223,4,Sargasso Manipulation,Beach,sargasso,1,Sediment,na,5,50,na,na,na,6.4,40
8/3.223,4,Sargasso Manipulation,Beach,sargasso,5,Sediment,na,0,50,na,na,na,6.4,40
8/3.223,4,Sargasso Manipulation,Beach,control,1,Sediment,na,0,0,na,na,na,6.4,40
8/3.223,4,Sargasso Manipulation,Beach,control,5,Sediment,na,0,0,na,na,na,6.8,80
8/3.223,4,Sargasso Manipulation,Beach,sargasso,3,Sediment,na,0,10,na,na,na,6.4,40
8/3.223,4,Sargasso Manipulation,Beach,control,2,Sediment,na,0,0,na,na,na,6.8,100
8/3.223,4,Sargasso Manipulation,Beach,sargasso,4,Sediment,na,0,0,na,na,na,6.4,40
8/3.223,4,Sargasso Manipulation,Beach,sargasso,2,Sediment,na,0,10,na,na,na,6.8,80
8/3.223,4,Sargasso Manipulation,Beach,control,4,Sediment,na,0,0,na,na,na,6.4,80
