Date,Exp,Site,Type,Block,Trt,Sample_no.,Nitrite,Nitrate,mean_N,sd_N,se_N,pH,KH,Methane_t0,Methane_t1,Carbon_dioxide_t0,Carbon_dioxide_t
7/31/22,Sargasso Manipulation,Dune,Sargassum,3,Algae,na,0,0,na,na,na,8.4,40,,,,
7/31/22,Sargasso Manipulation,Dune,Sargassum,3,Sediment,na,0,0,na,na,na,8,40,,,,
7/31/22,Sargasso Manipulation,Dune,Control,3,Sediment,na,0,0,na,na,na,8.4,360,,,,
7/31/22,Sargasso Manipulation,Dune,Control,1,Sediment,na,0,0,na,na,na,8.4,60,,,,
7/31/22,Sargasso Manipulation,Dune,Sargassum,1,Sediment,na,0,17.5,na,na,na,8,40,,,,
7/31/22,Sargasso Manipulation,Dune,Sargassum,1,Algae,na,0,0,na,na,na,8,40,,,,
7/31/22,Sargasso Manipulation,Dune,Control,5,Sediment,na,0,0,na,na,na,8.4,240,,,,
7/31/22,Sargasso Manipulation,Dune,Sargassum,5,Sediment,na,0,5,na,na,na,8,100,,,,
7/31/22,Sargasso Manipulation,Dune,Sargassum,5,Algae,na,0,0,na,na,na,8,60,,,,
7/31/22,Sargasso Manipulation,Dune,Sargassum,2,Algae,na,0,0,na,na,na,8,60,,,,
7/31/22,Sargasso Manipulation,Dune,Sargassum,2,Sediment,na,0,5,na,na,na,8,60,,,,
7/31/22,Sargasso Manipulation,Dune,Sargassum,4,Sediment,na,0,5,na,na,na,8,60,,,,
7/31/22,Sargasso Manipulation,Dune,Control,2,Sediment,na,0,0,na,na,na,8.4,180,,,,
7/31/22,Sargasso Manipulation,Dune,Sargassum,4,Algae,na,0,0,na,na,na,8,40,,,,
11/11/22,Sargasso Manipulation,Jungle ,Sargassum,1,Algae,na,0,100,na,na,na,8,0,,,,
11/11/22,Sargasso Manipulation,Jungle ,Sargassum,1,Sediment,na,0,10,na,na,na,6.8,80,,,,
11/11/22,Sargasso Manipulation,Jungle ,Control,1,Sediment,na,0,0,na,na,na,6.8,80,,,,
11/11/22,Sargasso Manipulation,Jungle ,Sargassum,2,Algae,na,0,10,na,na,na,6.8,40,,,,
11/11/22,Sargasso Manipulation,Jungle ,Sargassum,2,Sediment,na,0,25,na,na,na,6.8,50,,,,
11/11/22,Sargasso Manipulation,Jungle ,Control,2,Sediment,na,0,0,na,na,na,8,360,,,,
11/11/22,Sargasso Manipulation,Jungle ,Control,3,Sediment,na,0,0,na,na,na,8,360,,,,
11/11/22,Sargasso Manipulation,Jungle ,Sargassum,3,Algae,na,0,10,na,na,na,8,360,,,,
11/11/22,Sargasso Manipulation,Jungle ,Sargassum,3,Sediment,na,0,10,na,na,na,8,360,,,,
11/11/22,Sargasso Manipulation,Jungle ,Control,4,Sediment,na,0,0,na,na,na,8,360,,,,
11/11/22,Sargasso Manipulation,Jungle ,Sargassum,4,Sediment,na,0,0,na,na,na,8,360,,,,
11/11/22,Sargasso Manipulation,Jungle ,Sargassum,4,Algae,na,0,0,na,na,na,8,360,,,,
11/11/22,Sargasso Manipulation,Jungle ,Sargassum,5,Sediment,na,0,0,na,na,na,8,360,,,,
11/11/22,Sargasso Manipulation,Jungle ,Sargassum,5,Sediment,na,0,0,na,na,na,8,360,,,,
11/11/22,Sargasso Manipulation,Jungle ,Control,5,Algae,na,0,0,na,na,na,8,360,,,,
11/11/22,Sargasso Manipulation,Dune,Sargassum,1,Sediment,na,0,10,na,na,na,8,240,,,,
11/11/22,Sargasso Manipulation,Dune,Sargassum,1,Algae,na,0,0,na,na,na,8.4,240,,,,
11/11/22,Sargasso Manipulation,Dune,Control,1,Sediment,na,0,0,na,na,na,8.4,240,,,,
11/11/22,Sargasso Manipulation,Dune,Sargassum,2,Algae,na,0,0,na,na,na,8,360,,,,
11/11/22,Sargasso Manipulation,Dune,Sargassum,2,Sediment,na,0,17.5,na,na,na,8.4,240,,,,
11/11/22,Sargasso Manipulation,Dune,Control,2,Sediment,na,0,0,na,na,na,8,240,,,,
11/11/22,Sargasso Manipulation,Dune,Sargassum,3,Algae,na,0,75,na,na,na,8,240,,,,
11/11/22,Sargasso Manipulation,Dune,Sargassum,3,Sediment,na,0,37.5,na,na,na,8,240,,,,
11/11/22,Sargasso Manipulation,Dune,Control,3,Sediment,na,0,0,na,na,na,8,240,,,,
11/11/22,Sargasso Manipulation,Dune,Control,4,Sediment,na,0,0,na,na,na,8,240,,,,
11/11/22,Sargasso Manipulation,Dune,Sargassum,4,Sediment,na,0,17.5,na,na,na,8,240,,,,
11/11/22,Sargasso Manipulation,Dune,Sargassum,4,Algae,na,0,75,na,na,na,8,240,,,,
11/11/22,Sargasso Manipulation,Dune,Sargassum,5,Sediment,na,0,10,na,na,na,8,240,,,,
11/11/22,Sargasso Manipulation,Dune,Control,5,Sediment,na,0,0,na,na,na,8,240,,,,
11/11/22,Sargasso Manipulation,Dune,Sargassum,5,Algae,na,0,75,na,na,na,8,240,,,,
3/18/23,Sargasso Manipulation,Dune,Sargassum,1,Algae,,,17.5,,,,6.4,,,,,
3/18/23,Sargasso Manipulation,Dune,Sargassum,1,Sediment,,,10,,,,6.6,,,,,
3/18/23,Sargasso Manipulation,Dune,Control,1,Sediment,,,0,,,,8.4,,,,,
3/18/23,Sargasso Manipulation,Dune,Control,2,Sediment,,,0,,,,7.6,,,,,
3/18/23,Sargasso Manipulation,Dune,Sargassum,2,Algae,,,17.5,,,,6.8,,,,,
3/18/23,Sargasso Manipulation,Dune,Sargassum,2,Sediment,,,75,,,,6.4,,,,,
3/18/23,Sargasso Manipulation,Dune,Control,3,Sediment,,,0,,,,8,,,,,
3/18/23,Sargasso Manipulation,Dune,Sargassum,3,Algae,,,5,,,,7.2,,,,,
3/18/23,Sargasso Manipulation,Dune,Sargassum,3,Sediment,,,25,,,,6.4,,,,,
3/18/23,Sargasso Manipulation,Dune,Sargassum,4,Sediment,,,250,,,,6.4,,,,,
3/18/23,Sargasso Manipulation,Dune,Sargassum,4,Algae,,,17.5,,,,6.8,,,,,
3/18/23,Sargasso Manipulation,Dune,Control,4,Sediment,,,0,,,,7.55,,,,,
3/18/23,Sargasso Manipulation,Dune,Sargassum,5,Algae,,,5,,,,7.2,,,,,
3/18/23,Sargasso Manipulation,Dune,Sargassum,5,Sediment,,,37.5,,,,6.8,,,,,
3/18/23,Sargasso Manipulation,Dune,Control,5,Sediment,,,0,,,,8,,,,,
3/21/23,Sargasso Manipulation,Jungle,Sargassum,1,Sediment,,,17.5,,,,6.8,,,,,
3/21/23,Sargasso Manipulation,Jungle,Sargassum,1,Algae,,,17.5,,,,6.4,,,,,
3/21/23,Sargasso Manipulation,Jungle,Control,1,Sediment,,,0,,,,6.8,,,,,
3/21/23,Sargasso Manipulation,Jungle,Control,2,Sediment,,,0,,,,6.8,,,,,
3/21/23,Sargasso Manipulation,Jungle,Sargassum,2,Sediment,,,10,,,,6.8,,,,,
3/21/23,Sargasso Manipulation,Jungle,Sargassum,2,Algae,,,17.5,,,,6.4,,,,,
3/21/23,Sargasso Manipulation,Jungle,Control,3,Sediment,,,0,,,,7.2,,,,,
3/21/23,Sargasso Manipulation,Jungle,Sargassum,3,Algae,,,10,,,,6.4,,,,,
3/21/23,Sargasso Manipulation,Jungle,Sargassum,3,Sediment,,,10,,,,7.2,,,,,
3/21/23,Sargasso Manipulation,Jungle,Sargassum,4,Sediment,,,37.5,,,,6.8,,,,,
3/21/23,Sargasso Manipulation,Jungle,Control,4,Sediment,,,0,,,,6.4,,,,,
3/21/23,Sargasso Manipulation,Jungle,Sargassum,4,Algae,,,75,,,,6.4,,,,,
3/21/23,Sargasso Manipulation,Jungle,Sargassum,5,Algae,,,10,,,,7.2,,,,,
3/21/23,Sargasso Manipulation,Jungle,Control,5,Sediment,,,0,,,,6.4,,,,,
3/21/23,Sargasso Manipulation,Jungle,Sargassum,5,Sediment,,,25,,,,7.2,,,,,
