Trip,Site,Block,Treatment,Taxa,Count
2,Beach,4,Control,Arachnida,1
2,Beach,4,Sargassum,Arachnida,1
2,Beach,5,Control,Arachnida,2
2,Beach,5,Sargassum,Arachnida,1
2,Forest,1,Control,Arachnida,1
2,Forest,1,Sargassum,Arachnida,1
2,Forest,2,Control,Arachnida,0
2,Forest,2,Sargassum,Arachnida,1
2,Forest,3,Control,Arachnida,2
2,Forest,3,Sargassum,Arachnida,1
2,Forest,4,Control,Arachnida,0
2,Forest,4,Sargassum,Arachnida,2
2,Forest,5,Control,Arachnida,1
2,Forest,5,Sargassum,Arachnida,1
3,Beach,1,Control,Arachnida,0
3,Beach,1,Sargassum,Arachnida,2
3,Beach,2,Control,Arachnida,3
3,Beach,2,Sargassum,Arachnida,1
3,Beach,3,Control,Arachnida,1
3,Beach,3,Sargassum,Arachnida,1
3,Beach,4,Control,Arachnida,1
3,Beach,4,Sargassum,Arachnida,3
3,Beach,5,Control,Arachnida,1
3,Beach,5,Sargassum,Arachnida,1
3,Forest,1,Control,Arachnida,2
3,Forest,1,Sargassum,Arachnida,0
3,Forest,2,Control,Arachnida,0
3,Forest,2,Sargassum,Arachnida,0
3,Forest,3,Control,Arachnida,1
3,Forest,3,Sargassum,Arachnida,1
3,Forest,4,Control,Arachnida,0
3,Forest,4,Sargassum,Arachnida,0
3,Forest,5,Control,Arachnida,1
3,Forest,5,Sargassum,Arachnida,1
1,Beach,1,Control,Hymenoptera,6
1,Beach,1,Sargassum,Hymenoptera,0
1,Beach,2,Control,Hymenoptera,0
1,Beach,2,Sargassum,Hymenoptera,0
1,Beach,3,Control,Hymenoptera,4
1,Beach,3,Sargassum,Hymenoptera,7
1,Beach,4,Control,Hymenoptera,2
1,Beach,4,Sargassum,Hymenoptera,0
1,Beach,5,Control,Hymenoptera,1
1,Beach,5,Sargassum,Hymenoptera,10
1,Forest,1,Control,Hymenoptera,0
1,Forest,1,Sargassum,Hymenoptera,1
1,Forest,2,Control,Hymenoptera,0
1,Forest,2,Sargassum,Hymenoptera,2
1,Forest,3,Control,Hymenoptera,0
1,Forest,3,Sargassum,Hymenoptera,2
1,Forest,4,Control,Hymenoptera,57
1,Forest,4,Sargassum,Hymenoptera,14
1,Forest,5,Control,Hymenoptera,2
1,Forest,5,Sargassum,Hymenoptera,2
2,Beach,1,Control,Hymenoptera,3
2,Beach,1,Sargassum,Hymenoptera,2
2,Beach,2,Control,Hymenoptera,25
2,Beach,2,Sargassum,Hymenoptera,5
2,Beach,3,Control,Hymenoptera,2
2,Beach,3,Sargassum,Hymenoptera,4
2,Beach,4,Control,Hymenoptera,1
2,Beach,4,Sargassum,Hymenoptera,10
2,Beach,5,Control,Hymenoptera,12
2,Beach,5,Sargassum,Hymenoptera,9
2,Forest,1,Control,Hymenoptera,6
2,Forest,1,Sargassum,Hymenoptera,9
2,Forest,2,Control,Hymenoptera,21
2,Forest,2,Sargassum,Hymenoptera,2
2,Forest,3,Control,Hymenoptera,2
2,Forest,3,Sargassum,Hymenoptera,1
2,Forest,4,Control,Hymenoptera,0
2,Forest,4,Sargassum,Hymenoptera,6
2,Forest,5,Control,Hymenoptera,1
2,Forest,5,Sargassum,Hymenoptera,3
3,Beach,1,Control,Hymenoptera,8
3,Beach,1,Sargassum,Hymenoptera,3
3,Beach,2,Control,Hymenoptera,4
3,Beach,2,Sargassum,Hymenoptera,9
3,Beach,3,Control,Hymenoptera,3
3,Beach,3,Sargassum,Hymenoptera,7
3,Beach,4,Control,Hymenoptera,3
3,Beach,4,Sargassum,Hymenoptera,3
3,Beach,5,Control,Hymenoptera,4
3,Beach,5,Sargassum,Hymenoptera,10
3,Forest,1,Control,Hymenoptera,12
3,Forest,1,Sargassum,Hymenoptera,2
3,Forest,2,Control,Hymenoptera,7
3,Forest,2,Sargassum,Hymenoptera,4
3,Forest,3,Control,Hymenoptera,4
3,Forest,3,Sargassum,Hymenoptera,45
3,Forest,4,Control,Hymenoptera,2
3,Forest,4,Sargassum,Hymenoptera,2
3,Forest,5,Control,Hymenoptera,2
3,Forest,5,Sargassum,Hymenoptera,9
