Date,Trip,Site,Survey,Block,Treatment,Placement,Amphipods,Coleoptera,Orthoptera,Hemiptera,Dermaptera,Arachnid,Diptera,Hymenoptera,Spiribolida,Collembola,Unknown_arthropod,Homoptera,Polydesmida,Gastropoda,Neuroptera,Mammal,Isopoda,Lepidoptera
3/24/23,3,Dune,Pitfalls,4,Sargassum,Lo,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0
3/24/23,3,Dune,Pitfalls,5,Sargassum,Hi,0,1,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0
3/24/23,3,Dune,Pitfalls,5,Sargassum,Lo,1,0,0,0,0,0,4,40,0,0,0,0,0,0,0,0,0,0
8/3/22,1,Jungle,Pitfalls,1,Control,Hi,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8/3/22,1,Jungle,Pitfalls,2,Control,Hi,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
8/3/22,1,Jungle,Pitfalls,3,Control,Hi,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8/3/22,1,Jungle,Pitfalls,3,Control,Lo,0,6,0,0,0,3,0,3,5,0,0,0,0,0,0,0,0,0
8/3/22,1,Jungle,Pitfalls,4,Control,Hi,0,5,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0
8/3/22,1,Jungle,Pitfalls,4,Control,Lo,0,3,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0
8/3/22,1,Jungle,Pitfalls,1,Sargassum,Hi,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8/3/22,1,Jungle,Pitfalls,1,Sargassum,Lo,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8/3/22,1,Jungle,Pitfalls,2,Sargassum,Hi,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/3/22,1,Jungle,Pitfalls,2,Sargassum,Lo,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0
8/3/22,1,Jungle,Pitfalls,3,Sargassum,Hi,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
8/3/22,1,Jungle,Pitfalls,3,Sargassum,Hi,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0
8/3/22,1,Jungle,Pitfalls,4,Sargassum,Hi,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
8/3/22,1,Jungle,Pitfalls,4,Sargassum,Lo,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
8/3/22,1,Jungle,Pitfalls,5,Sargassum,Lo,0,2,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0
11/14/22,2,Jungle,Pitfalls,1,Control,Hi,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11/14/22,2,Jungle,Pitfalls,1,Control,Lo,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
11/14/22,2,Jungle,Pitfalls,2,Control,Hi,0,0,0,0,0,2,0,3,0,0,0,1,0,0,0,0,0,0
11/14/22,2,Jungle,Pitfalls,2,Control,Lo,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0
11/14/22,2,Jungle,Pitfalls,3,Control,Hi,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0
11/14/22,2,Jungle,Pitfalls,3,Control,Lo,0,3,0,0,0,3,1,8,0,0,0,0,0,0,0,0,0,0
11/14/22,2,Jungle,Pitfalls,4,Control,Hi,0,1,0,0,0,1,2,9,0,0,0,0,0,0,0,0,0,0
11/14/22,2,Jungle,Pitfalls,4,Control,Lo,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0
11/14/22,2,Jungle,Pitfalls,5,Control,Hi,0,3,0,0,0,1,5,0,0,0,0,0,0,0,1,0,0,0
11/14/22,2,Jungle,Pitfalls,5,Control,Lo,0,0,0,0,0,0,3,6,0,0,0,1,0,0,0,0,0,0
11/14/22,2,Jungle,Pitfalls,1,Sargassum,Hi,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
11/14/22,2,Jungle,Pitfalls,1,Sargassum,Lo,0,1,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0
11/14/22,2,Jungle,Pitfalls,2,Sargassum,Hi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11/14/22,2,Jungle,Pitfalls,2,Sargassum,Lo,0,1,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0
11/14/22,2,Jungle,Pitfalls,3,Sargassum,Hi,0,2,0,0,0,2,0,4,0,0,0,0,0,0,0,0,1,0
11/14/22,2,Jungle,Pitfalls,3,Sargassum,Lo,0,1,1,0,0,3,8,2,0,0,0,0,0,0,0,0,0,0
11/14/22,2,Jungle,Pitfalls,4,Sargassum,Hi,0,3,1,0,0,2,5,4,0,0,0,0,0,0,0,0,0,0
11/14/22,2,Jungle,Pitfalls,4,Sargassum,Lo,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
11/14/22,2,Jungle,Pitfalls,5,Sargassum,Hi,0,0,1,0,0,1,6,14,0,0,0,0,0,0,1,0,0,0
11/14/22,2,Jungle,Pitfalls,5,Sargassum,Lo,0,1,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0
3/31/23,3,Jungle,Pitfalls,1,Control,Hi,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0
3/24/23,3,Jungle,Pitfalls,1,Control,Lo,0,0,0,0,0,2,1,15,0,0,0,0,0,0,0,0,0,0
4/6/23,3,Jungle,Pitfalls,2,Control,Hi,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0
4/3/23,3,Jungle,Pitfalls,2,Control,Lo,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
4/9/23,3,Jungle,Pitfalls,3,Control,Hi,0,1,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0
3/30/23,3,Jungle,Pitfalls,3,Control,Lo,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
4/5/23,3,Jungle,Pitfalls,4,Control,Hi,0,1,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0
4/1/23,3,Jungle,Pitfalls,4,Control,Lo,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4/12/23,3,Jungle,Pitfalls,5,Control,Hi,0,2,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0
4/11/23,3,Jungle,Pitfalls,5,Control,Lo,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
3/27/23,3,Jungle,Pitfalls,1,Sargassum,Hi,0,1,0,0,0,0,1,30,0,0,0,0,0,0,0,0,0,0
3/25/23,3,Jungle,Pitfalls,1,Sargassum,Lo,0,0,0,0,0,1,2,60,0,0,0,0,0,0,0,0,0,0
3/28/23,3,Jungle,Pitfalls,2,Sargassum,Hi,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
4/2/23,3,Jungle,Pitfalls,2,Sargassum,Lo,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/26/23,3,Jungle,Pitfalls,3,Sargassum,Hi,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
3/29/23,3,Jungle,Pitfalls,3,Sargassum,Lo,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/4/23,3,Jungle,Pitfalls,4,Sargassum,Hi,0,2,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
4/10/23,3,Jungle,Pitfalls,4,Sargassum,Lo,0,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0
4/7/23,3,Jungle,Pitfalls,5,Sargassum,Hi,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0
4/8/23,3,Jungle,Pitfalls,5,Sargassum,Lo,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
